1 11.645
2 13.049
3 14.026
4 13.155
5 13.794
6 15.939
7 16.657
8 14.506
9 16.788
10 14.621
11 14.867
12 15.108
13 18.379
14 17.664
15 15.295
16 18.367
17 18.682
18 18.789
19 14.798
20 15.694
21 14.470
22 14.650
23 18.495
24 18.218
25 19.535
26 14.906
27 16.763
28 17.714
29 18.853
30 25.635
31 16.899
32 20.764
33 31.177
34 18.254
35 22.211
36 16.632
37 18.297
38 16.886
39 18.029
40 16.248
41 18.811
42 17.456
43 16.968
44 15.396
45 18.043
46 22.787
47 17.594
48 16.984
49 17.502
50 18.786
51 18.294
52 20.058
53 30.583
54 17.081
55 18.635
56 19.871
57 17.695
58 20.640
59 18.363
60 20.290
61 19.968
62 16.517
63 18.150
64 17.625
65 20.141
66 14.985
67 18.705
68 15.541
69 16.378
70 15.445
71 18.963
72 23.386
73 17.627
74 15.469
75 14.415
76 17.986
77 19.578
78 19.038
79 17.284
80 15.132
81 19.069
82 16.269
83 20.631
84 17.529
85 15.673
86 16.911
87 15.429
88 20.939
89 16.446
90 18.755
91 19.284
92 18.473
93 19.167
94 17.445
95 15.685
96 15.869
97 15.783
98 18.985
99 16.150
100 16.720
